LAST SEEN   TYPE      REASON                   OBJECT                                          MESSAGE
41m         Normal    Created                  pod/default-publish-api-7997dbd966-xsg95        Created container: daprd
41m         Normal    Pulled                   pod/default-publish-api-7997dbd966-xsg95        Container image "daprio/daprd:1.9.0" already present on machine
40m         Normal    ScalingReplicaSet        deployment/drasi-api                            Scaled up replica set drasi-api-6999764d79 from 0 to 1
40m         Normal    Scheduled                pod/drasi-resource-provider-7858d77494-fck2s    Successfully assigned drasi-system/drasi-resource-provider-7858d77494-fck2s to aks-system-12296413-vmss000001
40m         Normal    SuccessfulCreate         replicaset/drasi-resource-provider-7858d77494   Created pod: drasi-resource-provider-7858d77494-fck2s
40m         Normal    ScalingReplicaSet        deployment/drasi-resource-provider              Scaled up replica set drasi-resource-provider-7858d77494 from 0 to 1
40m         Normal    SuccessfulCreate         replicaset/drasi-api-6999764d79                 Created pod: drasi-api-6999764d79-g68dv
40m         Normal    Scheduled                pod/drasi-api-6999764d79-g68dv                  Successfully assigned drasi-system/drasi-api-6999764d79-g68dv to aks-system-12296413-vmss000000
40m         Normal    Pulled                   pod/drasi-api-6999764d79-g68dv                  Container image "daprio/daprd:1.14.5" already present on machine
40m         Normal    Pulled                   pod/drasi-resource-provider-7858d77494-fck2s    Container image "ghcr.io/drasi-project/kubernetes-provider:0.9.2" already present on machine
40m         Normal    Pulled                   pod/drasi-api-6999764d79-g68dv                  Container image "ghcr.io/drasi-project/api:0.9.2" already present on machine
40m         Normal    Created                  pod/drasi-api-6999764d79-g68dv                  Created container: drasi-api
40m         Normal    Started                  pod/drasi-api-6999764d79-g68dv                  Started container drasi-api
40m         Normal    Created                  pod/drasi-api-6999764d79-g68dv                  Created container: daprd
40m         Normal    Started                  pod/drasi-api-6999764d79-g68dv                  Started container daprd
40m         Normal    Started                  pod/drasi-resource-provider-7858d77494-fck2s    Started container daprd
40m         Normal    Created                  pod/drasi-resource-provider-7858d77494-fck2s    Created container: daprd
40m         Normal    Pulled                   pod/drasi-resource-provider-7858d77494-fck2s    Container image "daprio/daprd:1.14.5" already present on machine
40m         Normal    Started                  pod/drasi-resource-provider-7858d77494-fck2s    Started container kubernetes-provider
40m         Normal    Created                  pod/drasi-resource-provider-7858d77494-fck2s    Created container: kubernetes-provider
40m         Warning   Unhealthy                pod/drasi-api-6999764d79-g68dv                  Readiness probe failed: HTTP probe failed with statuscode: 500
40m         Warning   Unhealthy                pod/drasi-resource-provider-7858d77494-fck2s    Liveness probe failed: HTTP probe failed with statuscode: 500
40m         Normal    SuccessfulDelete         replicaset/drasi-resource-provider-58db46cb66   Deleted pod: drasi-resource-provider-58db46cb66-l4k9q
40m         Normal    Killing                  pod/drasi-resource-provider-58db46cb66-l4k9q    Stopping container daprd
40m         Normal    ScalingReplicaSet        deployment/drasi-resource-provider              Scaled down replica set drasi-resource-provider-58db46cb66 from 1 to 0
40m         Normal    Killing                  pod/drasi-resource-provider-58db46cb66-l4k9q    Stopping container kubernetes-provider
40m         Normal    SuccessfulDelete         replicaset/drasi-api-67ff9cbf55                 Deleted pod: drasi-api-67ff9cbf55-wzf4r
40m         Normal    Killing                  pod/drasi-api-67ff9cbf55-wzf4r                  Stopping container daprd
40m         Normal    Killing                  pod/drasi-api-67ff9cbf55-wzf4r                  Stopping container drasi-api
40m         Normal    ScalingReplicaSet        deployment/drasi-api                            Scaled down replica set drasi-api-67ff9cbf55 from 1 to 0
40m         Warning   Unhealthy                pod/drasi-resource-provider-58db46cb66-l4k9q    Readiness probe failed: Get "http://10.224.0.32:3501/v1.0/healthz": dial tcp 10.224.0.32:3501: connect: connection refused
32m         Normal    ScalingReplicaSet        deployment/default-publish-api                  Scaled up replica set default-publish-api-54d488cf5f from 0 to 1
32m         Normal    SuccessfulCreate         replicaset/default-publish-api-54d488cf5f       Created pod: default-publish-api-54d488cf5f-2smnr
32m         Normal    ScalingReplicaSet        deployment/default-query-host                   Scaled up replica set default-query-host-5c9b69855d from 0 to 1
32m         Normal    Scheduled                pod/default-query-host-5c9b69855d-rhc7c         Successfully assigned drasi-system/default-query-host-5c9b69855d-rhc7c to aks-system-12296413-vmss000001
32m         Normal    SuccessfulCreate         replicaset/default-query-host-5c9b69855d        Created pod: default-query-host-5c9b69855d-rhc7c
32m         Normal    Scheduled                pod/default-publish-api-54d488cf5f-2smnr        Successfully assigned drasi-system/default-publish-api-54d488cf5f-2smnr to aks-system-12296413-vmss000000
32m         Normal    ScalingReplicaSet        deployment/default-view-svc                     Scaled up replica set default-view-svc-8698f5ff6c from 0 to 1
32m         Normal    Scheduled                pod/default-view-svc-8698f5ff6c-z9jxh           Successfully assigned drasi-system/default-view-svc-8698f5ff6c-z9jxh to aks-system-12296413-vmss000000
32m         Normal    SuccessfulCreate         replicaset/default-view-svc-8698f5ff6c          Created pod: default-view-svc-8698f5ff6c-z9jxh
31m         Normal    Pulling                  pod/default-view-svc-8698f5ff6c-z9jxh           Pulling image "drasi-project/query-container-view-svc:latest"
